slug,name,side,effect_raw
apotheosis-rite,Apotheosis Rite,front,"Divine Relic

Banish Apotheosis Rite: Your champion becomes an Ascendant in addition to its other types. Draw a card."
sacramental-rite,Sacramental Rite,front,"Divine Relic

On Enter: Banish a non-champion card from your material deck face down.

Banish Sacramental Rite: Your champion becomes an Ascendant in addition to its other types. You may play the banished card."
spirit-of-fire,Spirit of Fire,front,On Enter: Draw seven cards.
lost-spirit,Lost Spirit,front,On Enter: Draw seven cards.
nameless-champion-ac,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-mr,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-gt,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-rt,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-cw,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-cm,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-am,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-cg,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-mw,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-gm,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-tw,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-at,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-cr,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-gw,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
nameless-champion-ar,Nameless Champion,front,"This champion can't level up.

(6): Draw a card and put a level counter on Nameless Champion. Activate this ability only once. (Champions get +1 level for each level counter on them.)"
spirit-of-slime,Spirit of Slime,front,"On Enter:Draw seven cards.

Inherited Effect: Ignore the elemental requirements of basic element Slime cards you activate."
spirit-of-fortuitous-fire,Spirit of Fortuitous Fire,front,On Enter: Glimpse 7. Draw seven cards into your memory.
spirit-of-serene-fire,Spirit of Serene Fire,front,"On Enter: Glimpse 6. Draw six cards.

Lineage Release — Recover 6. (Activate this ability by banishing this card from your champion's inner lineage.)"
fragmented-spirit-of-fire,Fragmented Spirit of Fire,front,On Enter: Glimpse 6. Draw six cards. Then summon a Spirit Shard token.
lorraine-ascendant-wings,"Lorraine, Ascendant Wings",front,"Lorraine Lineage

(2024): Generate any amount of Sword regalia cards and put them onto the field. For the rest of the game, Sword weapons you control can attack as though they were allies. Activate this ability only if Lorraine is an Ascendant."
scepter-of-lumina,Scepter of Lumina,front,"Whenever your champion levels up, deal 4 damage to target champion you don't control.

[Level 3+] (5), Banish Scepter of Lumina: Draw a card. (Activate this ability only if your champion is level 3 or higher.)"
spirit-of-water,Spirit of Water,front,On Enter: Draw seven cards.
amorphous-missile,Amorphous Missile,front,"Renewable (If this card would be banished from the field or an intent, put it into its owner's material deck instead.)

(1), REST: Load Amorphous Missile into target unloaded Ranger weapon you control."
spirit-of-fortuitous-water,Spirit of Fortuitous Water,front,On Enter: Glimpse 7. Draw seven cards into your memory.
